id,source_id,source_job_id,title,location,company,department,link,scrape_timestamp
rocket-factory-augsburg:4828112101,rocket-factory-augsburg,4828112101,Intern (m/f/d) Software Engineer Mission Analysis,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Chief Engineering,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4828112101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4907968101,rocket-factory-augsburg,4907968101,LabVIEW Programming Engineer (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Software,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4907968101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4823448101,rocket-factory-augsburg,4823448101,Launch Site Health & Safety Lead,"Shetland Islands, Scotland, United Kingdom",Rocket Factory Augsburg,UK,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4823448101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4934392101,rocket-factory-augsburg,4934392101,PLM Administrator (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Design,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4934392101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4979565101,rocket-factory-augsburg,4979565101,Procurement Manager (f/m/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Procurement,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4979565101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4828909101,rocket-factory-augsburg,4828909101,Propulsion Development Engineer (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Propulsion,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4828909101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4877177101,rocket-factory-augsburg,4877177101,Propulsion Production Engineer (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Propulsion Production,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4877177101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4964986101,rocket-factory-augsburg,4964986101,Propulsion Test Engineer (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Launch Operations & Quality,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4964986101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4833743101,rocket-factory-augsburg,4833743101,Propulsion Test Technician,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Launch Operations & Quality,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4833743101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4918738101,rocket-factory-augsburg,4918738101,RF Design Engineer (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Avionics,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4918738101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4978675101,rocket-factory-augsburg,4978675101,Senior Development Engineer - Umbilicals (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Design,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4978675101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4973276101,rocket-factory-augsburg,4973276101,Senior Electrical Engineer - Launch (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Launch,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4973276101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4888885101,rocket-factory-augsburg,4888885101,Senior Fluidic Component Design Engineer (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Design,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4888885101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4829103101,rocket-factory-augsburg,4829103101,Stage Assembly & Integration Technician (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Stage Assembly,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4829103101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4829139101,rocket-factory-augsburg,4829139101,Welder (m/f/d),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Production,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4829139101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4929561101,rocket-factory-augsburg,4929561101,Welder (m/f/d) UK/Shetlands,"Shetland Islands, Scotland, United Kingdom",Rocket Factory Augsburg,UK,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4929561101,2026-09-24T14:24:22.291092Z
